epoch,accuracy,loss,val_accuracy,val_loss
0,0.8138437271118164,0.42451542615890503,0.8419419527053833,0.3578881025314331
1,0.8307083249092102,0.38330233097076416,0.8275892734527588,0.39052629470825195
2,0.8369687795639038,0.3737933337688446,0.8450334668159485,0.35226356983184814
3,0.8383906483650208,0.3684851825237274,0.8445982336997986,0.35002654790878296
4,0.8416249752044678,0.36397603154182434,0.845725417137146,0.35148885846138
5,0.8434531092643738,0.3604126274585724,0.8507366180419922,0.34046095609664917
6,0.8441406488418579,0.3586307466030121,0.8553125262260437,0.33004632592201233
7,0.847000002861023,0.35400405526161194,0.8383370637893677,0.37115922570228577
8,0.8477708101272583,0.35190922021865845,0.8488616347312927,0.3436393737792969
9,0.8518854379653931,0.34411153197288513,0.8552343845367432,0.33244478702545166
10,0.8528958559036255,0.3421376943588257,0.8579576015472412,0.3292121887207031
11,0.8540573120117188,0.3393850326538086,0.8615624904632568,0.32129982113838196
12,0.8562968969345093,0.33888953924179077,0.8567187786102295,0.32828429341316223
13,0.8564062714576721,0.3365974426269531,0.8580468893051147,0.32545754313468933
14,0.8569843769073486,0.3333855867385864,0.859363853931427,0.3246489465236664
15,0.856333315372467,0.3349502384662628,0.8594307899475098,0.3243085741996765
16,0.8575416803359985,0.3333357274532318,0.8606808185577393,0.3219169080257416
17,0.858203113079071,0.3326739966869354,0.8609821200370789,0.3216104209423065
18,0.8595208525657654,0.33078205585479736,0.8617968559265137,0.31937167048454285
19,0.8595260381698608,0.3309459984302521,0.860747754573822,0.32109272480010986
20,0.8577395677566528,0.33252421021461487,0.8612165451049805,0.32067200541496277
21,0.8579218983650208,0.332389771938324,0.8614843487739563,0.3205288350582123
22,0.8576666712760925,0.33281561732292175,0.861339271068573,0.32095104455947876
23,0.8579114675521851,0.331228643655777,0.8604241013526917,0.3208567202091217
24,0.8589583039283752,0.3308183550834656,0.8610602617263794,0.32018351554870605
25,0.8581510186195374,0.3318222463130951,0.861339271068573,0.3207199275493622
26,0.8579427003860474,0.3321746289730072,0.8610044717788696,0.31983479857444763
27,0.8580989837646484,0.3310406506061554,0.8610602617263794,0.32094958424568176
28,0.8589426875114441,0.3299068808555603,0.8623102903366089,0.31764644384384155
29,0.8578489422798157,0.3322519361972809,0.8611830472946167,0.3203815221786499
